"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","17","PCF1126CT-ND","ECP-U1C104MA5","CAP FILM 0.1UF 20% 16VDC 0805","","17","0","0.44500","7.57"
"2","10","1276-1102-1-ND","CL10A105KA8NNNC","CAP CER 1UF 25V X5R 0603","","10","0","0.03400","0.34"
"3","17","490-16266-1-ND","GRM32EC72A106KE05L","CAP CER 10UF 100V X7S 1210","","0","17","1.04000","17.68"
"4","30","490-10748-1-ND","GRM21BR61E106MA73L","CAP CER 10UF 25V X5R 0805","","30","0","0.17200","5.16"
"5","1","490-10918-1-ND","GRJ21BC72A105KE11L","CAP CER 1UF 100V X7S 0805","","1","0","0.46000","0.46"
"6","2","311-1523-1-ND","CC0603KRX7R0BB104","CAP CER 0.1UF 100V X7R 0603","","2","0","0.18000","0.36"
"7","50","490-10918-1-ND","GRJ21BC72A105KE11L","CAP CER 1UF 100V X7S 0805","","50","0","0.22480","11.24"
"8","18","DDZ15-7DICT-ND","DDZ15-7","DIODE ZENER 15V 500MW SOD123","","18","0","0.22300","4.01"
"9","5","FSV20100VCT-ND","FSV20100V","DIODE SCHOTTKY 100V 20A TO277-3","","0","5","1.46000","7.30"
"10","1","VLMB1310-GS08CT-ND","VLMB1310-GS08","LED BLUE 0603 SMD","","0","1","0.47000","0.47"
"11","1","732-4978-1-ND","150060RS75000","LED RED CLEAR 0603 SMD","","1","0","0.15000","0.15"
"12","1","1516-1055-1-ND","QBLP601-IG","LED GREEN CLEAR 0603 SMD","","1","0","0.40000","0.40"
"13","1","516-2486-1-ND","HSMA-C120","LED AMBER CLEAR CHIP SMD R/A","","1","0","0.63000","0.63"
"14","1","516-2486-1-ND","HSMA-C120","LED AMBER CLEAR CHIP SMD R/A","","1","0","0.63000","0.63"
"15","1","516-2486-1-ND","HSMA-C120","LED AMBER CLEAR CHIP SMD R/A","","1","0","0.63000","0.63"
"16","1","1516-1055-1-ND","QBLP601-IG","LED GREEN CLEAR 0603 SMD","","1","0","0.40000","0.40"
"17","16","CCS15S40L3FCT-ND","CCS15S40,L3F","DIODE SCHOTTKY 40V 1.5A CST2C","","16","0","0.30200","4.83"
"18","1","516-2486-1-ND","HSMA-C120","LED AMBER CLEAR CHIP SMD R/A","","1","0","0.63000","0.63"
"19","4","516-2486-1-ND","HSMA-C120","LED AMBER CLEAR CHIP SMD R/A","","4","0","0.63000","2.52"
"20","10","MBR0580-TPMSCT-ND","MBR0580-TP","DIODE SCHOTTKY 80V 500MA SOD123","","0","10","0.26400","2.64"
"21","1","1740-1071-1-ND","BT151S-650R,118","SCR 650V 12A DPAK","","1","0","0.83000","0.83"
"22","2","SRP1770TA-4R7MCT-ND","SRP1770TA-4R7M","FIXED IND 4.7UH 25A 5.5 MOHM SMD","","2","0","4.75000","9.50"
"23","3","732-5519-1-ND","74404054100","FIXED IND 10UH 2.1A 64 MOHM SMD","","3","0","1.16000","3.48"
"24","5","1727-7125-1-ND","PSMN5R6-100BS,118","MOSFET N-CH 100V 100A D2PAK","","0","5","3.16000","15.80"
"25","8","DMN65D8L-7DICT-ND","DMN65D8L-7","MOSFET N-CH 60V 310MA SOT23","","0","8","0.19000","1.52"
"26","2","FDN340PCT-ND","FDN340P","MOSFET P-CH 20V 2A SUPERSOT3","","0","2","0.41000","0.82"
"27","3","ZXTP2025FCT-ND","ZXTP2025FTA","TRANS PNP 50V 5A SOT23-3","","0","3","0.83000","2.49"
"28","4","P200KBYCT-ND","ERJ-PA3F2003V","RES SMD 200K OHM 1% 1/4W 0603","","4","0","0.15000","0.60"
"29","4","541-CRCW060316K0FKEAHPCT-ND","CRCW060316K0FKEAHP","RES SMD 16K OHM 1% 1/3W 0603","","0","4","0.17000","0.68"
"30","2","10-ERJ-UP3J120VCT-ND","ERJ-UP3J120V","RES 12 OHM 5% 1/4W 0603","","2","0","0.16000","0.32"
"31","2","541-8.06SCT-ND","CRCW06038R06FKEAHP","RES SMD 8.06 OHM 1% 1/3W 0603","","2","0","0.17000","0.34"
"32","12","RHM10KDCT-ND","ESR03EZPJ103","RES SMD 10K OHM 5% 1/4W 0603","","12","0","0.08200","0.98"
"33","21","RNCP0603FTD499RCT-ND","RNCP0603FTD499R","RES 499 OHM 1% 1/8W 0603","","21","0","0.06100","1.28"
"34","17","A130416CT-ND","CRGP0603F1K0","RES 1K OHM 1% 1/4W 0603","","17","0","0.15100","2.57"
"35","5","511-1769-1-ND","SDR03EZPJ3R0","RES SMD 3 OHM 5% 0.3W 0603","","5","0","0.10000","0.50"
"36","1","945-2445-ND","R-78HB12-0.5/W","DC/DC CONVERTER 12V 6W","","1","0","17.16000","17.16"
"37","1","620-1817-1-ND","ACS780LLRTR-050B-T","HIGH-PRECISION LINEAR HALL-EFFEC","","0","1","5.27000","5.27"
"38","1","296-31998-1-ND","UCC27201DDAR","IC GATE DRVR HALF-BRIDGE 8SOPWR","","0","1","2.72000","2.72"
"39","1","FAN3111ESXCT-ND","FAN3111ESX","IC GATE DRVR LOW-SIDE SOT23-5","","0","1","0.91000","0.91"
"40","1","516-1789-1-ND","HCPL-3120-500E","OPTOISO 3.75KV GATE DRVR 8DIP GW","","0","1","3.33000","3.33"
"41","1","MC7805CD2TR4GOSCT-ND","MC7805CD2TR4G","IC REG LINEAR 5V 1A D2PAK","","1","0","0.80000","0.80"
"42","1","160-1367-5-ND","LTV-817S","OPTOISOLATR 5KV TRANSISTOR 4-SMD","","1","0","0.43000","0.43"
"43","1","DSPIC30F301130IPT-ND","DSPIC30F3011-30I/PT","IC MCU 16BIT 24KB FLASH 44TQFP","","0","1","6.24000","6.24"
"44","1","LM62CIM3/NOPBCT-ND","LM62CIM3/NOPB","SENSOR ANALOG 0C-90C SOT23-3","","1","0","1.29000","1.29"
"45","5","2449-A41AS12VDC-ND","A41AS12VDC","RELAY AUTO SPST 12VDC PCB","","5","0","1.11000","5.55"
"46","1","NL17SZ74USGOSCT-ND","NL17SZ74USG","IC FF D-TYPE SNGL 1BIT US8","","0","1","0.47000","0.47"
"47","2","311-6.04HRCT-ND","RC0603FR-076R04L","RES 6.04 OHM 1% 1/10W 0603","","2","0","0.10000","0.20"
